NTD ID,Agency,Primary UZA UACE Code,Rail/Bus/Ferry,Mode Name,Mode,Type of Service,Fixed Route Flag,Year,Event Description,Incident Number,Event Date,Event Time,Event Type,Event Type Group,Transit Worker Type,Transit Worker Assault Detail Type,Transit Worker Assault Flag,Other Event Type Description,Event Category,Runaway Train Flag,Safety/Security,Collision With,Property Damage,Property Damage Type,Total Injuries,Total Fatalities,Life Safety (Y/N),Number of Transit Vehicles Involved,Towed (Y/N),Number of Vehicles Involved,Location Type,Approximate Address,Latitude,Longitude,LatLon,Evacuation Comment,Self Evacuation (Y/N),Evacuation Location,HazMat Type,HazMat Type Description,Fire Type,Fire Fuel,Other Fire Fuel Description,Weather,Lighting,Current Condition,Tide,Road Configuration,Track Configuration,Path Condition,Rail Alignment,Rail Grade Crossing Control,Right of Way Condition,Intersection,Service Stop Control Device,Intentional (Y/N),Vehicle Action,Action Type,Derailment Type,Transit (Y/N),Fuel Type,Vehicle Speed,Non-Rail Transit Vehicle Type,Manufacturer,Manufacturer Description,Transit Vehicle Rider Fatalities,People Waiting or Leaving Fatalities,Transit Vehicle Operator Fatalities,Transit Employee Fatalities,Other Worker Fatalities,Bicyclist Fatalities,Pedestrian in Crosswalk Fatalities,Pedestrian Not in Crosswalk Fatalities,Pedestrian Crossing Tracks Fatalities,Pedestrian Walking Along Tracks Fatalities,Occupant of Other Vehicle Fatalities,Other Fatalities,Suicide Fatalities,Transit Vehicle Rider Injuries,Transit Vehicle Rider Serious Injuries,People Waiting or Leaving Injuries,People Waiting or Leaving Serious Injuries,Transit Vehicle Operator Injuries,Transit Vehicle Operator Serious Injuries,Transit Employee Injuries,Transit Employee Serious Injuries,Other Worker Injuries,Other Worker Serious Injuries,Bicyclist Injuries,Bicyclist Serious Injuries,Pedestrian in Crosswalk Injuries,Pedestrian in Crosswalk Serious Injuries,Pedestrian Not in Crosswalk Injuries,Pedestrian Not in Crosswalk Serious Injuries,Pedestrian Crossing Tracks Injuries,Pedestrian Crossing Tracks Serious Injuries,Pedestrian Walking Along Tracks Injuries,Pedestrian Walking Along Tracks Serious Injuries,Occupant of Other Vehicle Injuries,Occupant of Other Vehicle Serious Injuries,Other Injuries,Other Serious Injuries,Suicide Injuries,Suicide Serious Injuries,Total Serious Injuries,Person List,United States,US Counties
90154,Los Angeles County Metropolitan Transportation Authority,51445,Rail,Light Rail,LR,DO,TRUE,2023,{Redacted} {Redacted} investigation revealed that {Redacted} ( {Redacted} ) was traveling SB {Redacted} when a {Redacted} {Redacted} made a left turn in front of the train. There was minor damage to involved vehicles with a hour one service delay.,3980736,4/18/2023,4:53:00 PM,Rail Collision,Collision,Not Applicable,Not Applicable,FALSE,,RGX Collision,,SFT,Non Transit Motor Vehicle (POV),,,0,0,N,1,N,1,Right-of-way: grade crossing,"251 S Arizona Ave, East Los Angeles, CA 90022, USA",34.03336,-118.16377,POINT (-118.16377 34.03336),,N,,,,,,,Clear,Daylight,,,,,Dry,Shared with other rail vehicles (controlled access to other non-rail vehicles),Active devices: train approaching sign,Dry,,,,Going Straight,Other front impact,,"N,Y",Electric Propulsion,25,Light Rail Vehicle,Kinki Sharyo USA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,2090
90154,Los Angeles County Metropolitan Transportation Authority,51445,Bus,Bus,MB,DO,TRUE,2023,Bus operator hit the brakes hard to avoid a vehicle collision resulting in two on board patrons falling.,3935265,3/24/2023,8:55:00 AM,Other,Other,Not Applicable,Not Applicable,FALSE,,Other,,SFT,,0,,2,0,N,0,N,0,Not a securement issue,Soto St and 8th St,34.02805,-118.21938,POINT (-118.21938 34.02805),,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I    Passenger Senior Citizen (61 and up) F ; I    Passenger Teen (13 to 18) F,6,2090
90154,Los Angeles County Metropolitan Transportation Authority,51445,Bus,Bus,MB,DO,TRUE,2022,Suspect assaulted victim while riding the bus and stabbed victim on his hand.   {Redacted} was transported for medical treatment.,3854234,12/6/2022,1:15:00 PM,Assault,Assault,Not Applicable,Not Applicable,FALSE,,Security,,SEC,,0,,1,0,N,0,N,0,In or on vehicle,"Western Avenue and Imperial Highway, Los Angeles, Ca",33.930941,-118.309252,POINT (-118.309252 33.930941),,N,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I    Passenger Adult (19 to 60) M,6,2090
90154,Los Angeles County Metropolitan Transportation Authority,51445,Rail,Light Rail,LR,DO,TRUE,2022,{Redacted} was attacked by suspect while riding the train.   {Redacted} was transported for medical treatment.,3769802,11/24/2022,9:15:00 AM,Assault,Assault,Not Applicable,Not Applicable,FALSE,,Security,,SEC,,,,1,0,N,0,N,0,In or on vehicle,"11611 Willowbrook Av, Los Angeles, Ca",33.928945,-118.238038,POINT (-118.238038 33.928945),,N,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I    Passenger Adult (19 to 60) M Y,6,2090
90154,Los Angeles County Metropolitan Transportation Authority,51445,Rail,Light Rail,LR,DO,TRUE,2022,{Redacted} was attacked by suspect while riding the train.   {Redacted} was transported for medical treatment.,3768617,9/20/2022,6:30:00 AM,Assault,Assault,Not Applicable,Not Applicable,FALSE,,Security,,SEC,,,,1,0,N,0,N,0,In or on vehicle,"402 Colorado Ave, Santa Monica 90404",34.013961,-118.491508,POINT (-118.491508 34.013961),,N,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I    Passenger Adult (19 to 60) M Y,6,2090
90154,Los Angeles County Metropolitan Transportation Authority,51445,Bus,Bus,MB,DO,TRUE,2022,{Redacted} was attacked by suspect while riding the bus.   {Redacted} was transported for medical treatment.,3768611,9/9/2022,7:25:00 AM,Assault,Assault,Not Applicable,Not Applicable,FALSE,,Security,,SEC,,0,,1,0,N,0,N,0,In or on vehicle,"Telegraph Rd and Slauson Av, Commerce, Ca",33.975102,-118.123203,POINT (-118.123203 33.975102),,N,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I    Passenger Adult (19 to 60) M,6,2090
90154,Los Angeles County Metropolitan Transportation Authority,51445,Rail,Light Rail,LR,DO,TRUE,2022,{Redacted} was attacked by suspect while waiting at the train station.   {Redacted} was transported for medical treatment.,3768551,8/25/2022,10:14:00 AM,Assault,Assault,Not Applicable,Not Applicable,FALSE,,Security,,SEC,,,,1,0,N,0,N,0,Revenue facility: transit station,"11132 Hawthorne Bl, Hawthorne, Ca",33.933595,-118.352083,POINT (-118.352083 33.933595),,N,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I    Wait Leave Adult (19 to 60) F Y,6,2090
90154,Los Angeles County Metropolitan Transportation Authority,51445,Rail,Light Rail,LR,DO,TRUE,2022,{Redacted} was attacked by several suspects while riding the train.   {Redacted} was transported for medical treatment.,3768547,8/20/2022,1:29:00 PM,Assault,Assault,Not Applicable,Not Applicable,FALSE,,Security,,SEC,,,,1,0,N,0,N,0,In or on vehicle,"395 N Allen Ave, Pasadena, Ca",34.152032,-118.113969,POINT (-118.113969 34.152032),,N,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I    Passenger Adult (19 to 60) M Y,6,2090
90154,Los Angeles County Metropolitan Transportation Authority,51445,Bus,Bus,MB,DO,TRUE,2022,Car from the left made contact with the bus as it was leaving the tri - light signal.,3725928,6/29/2022,5:47:00 PM,Non-Rail Collision,Collision,Not Applicable,Not Applicable,FALSE,,Non-RGX Collision,,SFT,Motor Vehicle,1000,,1,0,N,1,N,1,Roadway: intersection,Daly St and Main St,34.06598,-118.21544,POINT (-118.21544 34.06598),,N,,,,,,,Clear,Daylight,,,Intersection,,Dry,,,Dry,Trafic Signal,,,Going Straight,Other front impact,,"N,Y",Compressed natural gas,5,Transit: bus,ElDorado Bus (EBC Inc.),,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I    Passenger Adult (19 to 60) F,6,2090
90154,Los Angeles County Metropolitan Transportation Authority,51445,Bus,Bus,MB,DO,TRUE,2022,"Suspect punched victim in the face, causing victim to lose consciousness. {Redacted} was transported to the hospital.",3762308,6/18/2022,3:30:00 AM,Assault,Assault,Not Applicable,Not Applicable,FALSE,,Security,,SEC,,0,,1,0,N,0,N,0,In or on vehicle,"2nd & Western Blvd., Los Angeles, Ca",37.361517,-118.389023,POINT (-118.389023 37.361517),,N,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I    Passenger Senior Citizen (61 and up) M,6,2575
