Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06037101110","Census Tract 1011.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1011.10",,,,1551,67,96,33,72,11,78,19,56,96,74,221,102,182,144,123,177,4.32,6.19,2.13,4.64,0.71,5.03,1.23,3.61,6.19,4.77,14.25,6.58,11.73,9.28,7.93,11.41
"06037101122","Census Tract 1011.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1011.22",,,,1383,84,0,7,44,20,29,0,4,10,31,208,173,102,181,204,286,6.07,0,0.51,3.18,1.45,2.1,0,0.29,0.72,2.24,15.04,12.51,7.38,13.09,14.75,20.68
"06037101220","Census Tract 1012.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.20",,,,1349,85,61,9,91,24,24,71,39,60,81,209,172,43,109,130,141,6.3,4.52,0.67,6.75,1.78,1.78,5.26,2.89,4.45,6,15.49,12.75,3.19,8.08,9.64,10.45
"06037101221","Census Tract 1012.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.21",,,,1424,84,90,59,136,26,107,9,91,65,145,95,150,140,65,111,51,5.9,6.32,4.14,9.55,1.83,7.51,0.63,6.39,4.56,10.18,6.67,10.53,9.83,4.56,7.79,3.58
"06037101222","Census Tract 1012.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.22",,,,928,68,182,60,29,33,55,52,19,27,23,23,107,26,137,35,52,7.33,19.61,6.47,3.12,3.56,5.93,5.6,2.05,2.91,2.48,2.48,11.53,2.8,14.76,3.77,5.6
"06037101300","Census Tract 1013, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1013",,,,1425,53,19,57,8,23,98,18,13,7,16,118,189,133,181,195,297,3.72,1.33,4,0.56,1.61,6.88,1.26,0.91,0.49,1.12,8.28,13.26,9.33,12.7,13.68,20.84
"06037101400","Census Tract 1014, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1014",,,,1287,10,62,32,198,17,0,6,33,66,89,56,109,205,70,169,165,0.78,4.82,2.49,15.38,1.32,0,0.47,2.56,5.13,6.92,4.35,8.47,15.93,5.44,13.13,12.82
"06037102103","Census Tract 1021.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.03",,,,671,44,0,23,50,36,25,57,45,5,36,71,61,40,82,73,23,6.56,0,3.43,7.45,5.37,3.73,8.49,6.71,0.75,5.37,10.58,9.09,5.96,12.22,10.88,3.43
"06037102104","Census Tract 1021.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.04",,,,1304,42,75,9,0,18,10,0,65,58,50,47,222,213,138,93,264,3.22,5.75,0.69,0,1.38,0.77,0,4.98,4.45,3.83,3.6,17.02,16.33,10.58,7.13,20.25
"06037102105","Census Tract 1021.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.05",,,,557,5,15,3,6,32,15,22,11,5,82,26,86,108,11,5,125,0.9,2.69,0.54,1.08,5.75,2.69,3.95,1.97,0.9,14.72,4.67,15.44,19.39,1.97,0.9,22.44
"06037102107","Census Tract 1021.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.07",,,,1202,116,31,22,0,0,12,0,41,0,108,210,93,78,76,165,250,9.65,2.58,1.83,0,0,1,0,3.41,0,8.99,17.47,7.74,6.49,6.32,13.73,20.8
"06037103101","Census Tract 1031.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1031.01",,,,967,31,16,7,56,32,19,0,0,0,79,27,138,76,108,160,218,3.21,1.65,0.72,5.79,3.31,1.96,0,0,0,8.17,2.79,14.27,7.86,11.17,16.55,22.54
"06037103102","Census Tract 1031.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1031.02",,,,1631,53,93,26,41,18,52,49,86,0,150,175,323,198,145,74,148,3.25,5.7,1.59,2.51,1.1,3.19,3,5.27,0,9.2,10.73,19.8,12.14,8.89,4.54,9.07
"06037103201","Census Tract 1032.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1032.01",,,,1577,133,93,150,0,36,0,60,0,116,88,39,169,192,170,177,154,8.43,5.9,9.51,0,2.28,0,3.8,0,7.36,5.58,2.47,10.72,12.18,10.78,11.22,9.77
"06037103202","Census Tract 1032.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1032.02",,,,635,0,0,0,5,42,0,25,12,43,21,18,18,230,17,100,104,0,0,0,0.79,6.61,0,3.94,1.89,6.77,3.31,2.83,2.83,36.22,2.68,15.75,16.38
"06037103300","Census Tract 1033, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1033",,,,1238,21,67,48,13,8,25,9,0,8,53,65,130,130,92,143,426,1.7,5.41,3.88,1.05,0.65,2.02,0.73,0,0.65,4.28,5.25,10.5,10.5,7.43,11.55,34.41
"06037103401","Census Tract 1034.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1034.01",,,,960,56,4,30,54,63,0,12,0,51,11,72,157,59,179,87,125,5.83,0.42,3.12,5.62,6.56,0,1.25,0,5.31,1.15,7.5,16.35,6.15,18.65,9.06,13.02
"06037103402","Census Tract 1034.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1034.02",,,,1343,37,43,42,0,19,25,13,0,54,29,104,160,185,150,220,262,2.76,3.2,3.13,0,1.41,1.86,0.97,0,4.02,2.16,7.74,11.91,13.78,11.17,16.38,19.51
"06037104103","Census Tract 1041.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.03",,,,865,16,13,6,22,28,0,15,33,30,18,112,100,116,72,162,122,1.85,1.5,0.69,2.54,3.24,0,1.73,3.82,3.47,2.08,12.95,11.56,13.41,8.32,18.73,14.1
"06037104105","Census Tract 1041.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.05",,,,1589,176,15,60,58,63,111,80,26,64,164,200,153,141,117,106,55,11.08,0.94,3.78,3.65,3.96,6.99,5.03,1.64,4.03,10.32,12.59,9.63,8.87,7.36,6.67,3.46
"06037104108","Census Tract 1041.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.08",,,,1269,72,120,21,50,143,50,48,36,36,57,108,98,113,51,104,162,5.67,9.46,1.65,3.94,11.27,3.94,3.78,2.84,2.84,4.49,8.51,7.72,8.9,4.02,8.2,12.77
"06037104124","Census Tract 1041.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.24",,,,1310,18,32,53,110,63,112,56,52,24,70,56,229,117,60,134,124,1.37,2.44,4.05,8.4,4.81,8.55,4.27,3.97,1.83,5.34,4.27,17.48,8.93,4.58,10.23,9.47
"06037104201","Census Tract 1042.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.01",,,,871,14,31,16,25,15,34,13,28,0,68,129,124,30,143,106,95,1.61,3.56,1.84,2.87,1.72,3.9,1.49,3.21,0,7.81,14.81,14.24,3.44,16.42,12.17,10.91
"06037104203","Census Tract 1042.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.03",,,,1124,68,73,28,20,91,31,0,47,18,112,174,101,144,28,86,103,6.05,6.49,2.49,1.78,8.1,2.76,0,4.18,1.6,9.96,15.48,8.99,12.81,2.49,7.65,9.16
"06037104204","Census Tract 1042.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.04",,,,715,11,9,18,16,28,83,0,41,39,22,90,98,73,53,54,80,1.54,1.26,2.52,2.24,3.92,11.61,0,5.73,5.45,3.08,12.59,13.71,10.21,7.41,7.55,11.19
"06037104310","Census Tract 1043.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.10",,,,927,35,28,15,37,11,25,5,52,0,18,134,129,103,113,134,88,3.78,3.02,1.62,3.99,1.19,2.7,0.54,5.61,0,1.94,14.46,13.92,11.11,12.19,14.46,9.49
"06037104321","Census Tract 1043.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.21",,,,820,62,24,7,11,111,164,47,25,23,0,63,125,16,124,18,0,7.56,2.93,0.85,1.34,13.54,20,5.73,3.05,2.8,0,7.68,15.24,1.95,15.12,2.2,0
"06037104322","Census Tract 1043.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.22",,,,445,0,0,0,41,38,27,0,35,25,1,59,36,11,91,68,13,0,0,0,9.21,8.54,6.07,0,7.87,5.62,0.22,13.26,8.09,2.47,20.45,15.28,2.92
